# Inputs
# - sttic: number of `static` items
# - root_: number of uninlined function items
# - inlnd: number of inlined function items
# - bb___: number of basic blocks
# - ssd__: number of `SourceScopeData`s
# - stmt_: number of statements
# - term_: number of `Terminator`s; equal to bb___ (one terminator per basic block)
# - a_msg: number of assert messages
# - rval_: number of MIR `Rvalue`s
# - place: number of MIR `Place`s
# - proj_: number of MIR projections
# - proje: number of MIR projection elems
# - const: number of MIR constants
# - ty_cn: number of MIR `TyConst`s
# - ty___: number of MIR `Ty`s
# - regn_: number of MIR regions
# - args_: number of `GenericArgsRef`s
# - lc_dc: number of `LocalDecls`
# - vdi__: number of `VarDebugInfo`s
# - local: number of MIR locations(?)
# - argc_: number of function arguments
#
# Note: there will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for release builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic root_ inlnd bb___ ssd__ stmt_ term_ a_msg rval_ place proj_ proje const ty_cn ty___ regn_ args_ lc_dc vdi__ local argc_ est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-issue_58319.5cceb75927211ac6-cgu.0______     0     9     0    20    14    28    20     0    10    51    51    10    13     0    64     2     4    34    12    78    14    48     6.1     1.2     4.9     0.0
CGU-issue_88862.891ea234b5ad7983-cgu.0______     0    26     1   114   290   498   114     0   196   729   729    94    83     0   539    11   193   292   222  1051    40   612    16.4     6.6     9.7     0.0
CGU-many_assoc_items.ceb758ec02f6f715-cgu.0_     0     1     0     1     1     1     1     0     1     3     3     0     0     0     3     0     1     2     1     4     1     2     4.7     0.4     4.3     0.0
CGU-match_stress.50b0bc5333b0eb9e-cgu.0_____     0     3     0     3     3     1     3     0     1     9     9     0     5     0    19     0     0    11     6    10     6     4     4.6     0.6     4.0     0.0
CGU-projection_caching.a9df6354c7277b54-cgu.0     0   155     0   456   160   389   456     0   371  1244  1244    10   394     0  1171     2   112   614   229  1417   231   845    23.5     4.3    19.2     0.0
CGU-parser.3832416321258292-cgu.0___________     0   212   117  1344  5815 10114  1344     0  3596 13120 13120  4398  1166     0  9640   251  3735  4589  4706 19939   329 11458   136.8    36.5   100.3     0.0
CGU-parser.3832416321258292-cgu.1___________     0   271    66  1828   779  2230  1828     1  2016  6587  6587  1672   890     0  5152   356   417  2745   894  7139   515  4058   172.8    34.9   137.8     0.0
CGU-parser.3832416321258292-cgu.2___________     0   107     5   961   769  1993   961    12  1186  4008  4008   588   652     0  2747   170   570  1491   734  4925   173  2954    78.5    18.9    59.6     0.0
CGU-parser.3832416321258292-cgu.3___________     0   399     0  1438   670  1187  1438     0   693  2620  2620  1343   337     0  2929   139   169  1589   290  3529   477  2625   120.3    16.2   104.1     0.0
CGU-parser.3832416321258292-cgu.4___________     0    39     0   387  1198  2143   387     0   789  2827  2827   392   254     0  1718    36   876   974   932  4220    77  2530    45.0     7.7    37.3     0.0
