# Inputs
# - sttic: number of `static` items
# - rfn__: number of uninlined function items
#   - rbb__: number of basic blocks in uninlined functions
#     - rssd_: number of `SourceScopeData`s in uninlined functions
#     - rstmt: number of statements in uninlined functions
#       - rplac: number of MIR `Place`s in uninlined functions
#       - rproj: number of MIR projections in uninlined functions
#       - rcnst: number of MIR constants in uninlined functions
#     - rdecl: number of `LocalDecls` in uninlined functions
# - ifn__: number of inlined function items
#   - ibb__: number of basic blocks in inlined functions
#     - issd_: number of `SourceScopeData`s in inlined functions
#     - istmt: number of statements in inlined functions
#       - iplac: number of MIR `Place`s in inlined functions
#       - iproj: number of MIR projections in inlined functions
#       - icnst: number of MIR constants in inlined functions
#     - idecl: number of `LocalDecls` in inlined functions
#
# The nesting shows how things fit together. E.g. a function contains basic
# blocks, which contains statements, which contains places.
# There will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for opt builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic rfn__ ifn__ rbb__ ibb__ rssd_ issd_ rstmt istmt rplac iplac rproj iproj rcnst icnst rdecl idecl est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-syn.34e0b73ce4aa46ac-cgu.00_____________     0   318    27  1685   150   706   173  2049   415  5512   624  1058   143  1163    83  2463   246 17649   130.6    25.4   105.2     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.01_____________     0   448     2  1500     8   448     4   406    10  2056    26  1732     8   219     2  1556    12 17516   115.2    19.0    96.2     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.02_____________     0   701    44  1959    44  1162    44  1942    44  6439   132   851     0  1397     0  3280    88 17425   161.0    22.7   138.2     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.03_____________     0   323     4  1661     4   895     4  2498     4  4723    12  1421     4   637     0  1909     8 17355    90.7    18.2    72.5     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.04_____________     0   389     1  1471     1   950     1  2624     1  5058     3  1133     0   364     0  2121     2 14836    97.3    18.2    79.1     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.05_____________     0    72    15  1544    18   752    16  2028    19  5269    55   889    14  1039     1  1788    34 14546    95.7    16.0    79.7     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.06_____________     0   124     1  1492     1   749     1  1875     1  5114     3  1023     0   955     0  1904     2 14543    92.6    15.9    76.7     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.07_____________     0   203    11  1148    38  1425   182  3758   353  5584   472  1452   108   815    38  2175   147 14542    88.8    21.7    67.1     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.08_____________     0   200     1   854     1  2223     1  5221     1  7102     3  2138     1   654     0  2505     2 14541   107.7    26.6    81.1     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.09_____________     0   220     2  1362    11  4742    20  6463    46  9801    55  1223     9   831     9  3401    20 14539   134.5    49.6    84.9     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.10_____________     0   133     3  1316     6  3739     4  6910     7  9323    19  1313     8   906     1  3250    10 14538    99.1    25.1    74.0     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.11_____________     0   339     4  1590     4  1235    16  2239    41  5842    48   838     7  1083     3  2496    21 14538   121.2    27.2    94.0     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.12_____________     0   169     3  1400     3  1239     7  3049    21  5706    25  1178     1   997     2  2132    12 14537   106.1    24.8    81.4     0.0
CGU-syn.34e0b73ce4aa46ac-cgu.13_____________     0   163     9  1609    18   657    19  2415    48  6002    81   775    12  1201     6  2313    39 14537   108.3    23.3    85.0     0.0
