# Inputs
# - sttic: number of `static` items
# - rfn__: number of uninlined function items
#   - rbb__: number of basic blocks in uninlined functions
#     - rssd_: number of `SourceScopeData`s in uninlined functions
#     - rstmt: number of statements in uninlined functions
#       - rplac: number of MIR `Place`s in uninlined functions
#       - rproj: number of MIR projections in uninlined functions
#       - rcnst: number of MIR constants in uninlined functions
#     - rdecl: number of `LocalDecls` in uninlined functions
# - ifn__: number of inlined function items
#   - ibb__: number of basic blocks in inlined functions
#     - issd_: number of `SourceScopeData`s in inlined functions
#     - istmt: number of statements in inlined functions
#       - iplac: number of MIR `Place`s in inlined functions
#       - iproj: number of MIR projections in inlined functions
#       - icnst: number of MIR constants in inlined functions
#     - idecl: number of `LocalDecls` in inlined functions
#
# The nesting shows how things fit together. E.g. a function contains basic
# blocks, which contains statements, which contains places.
# There will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for opt builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic rfn__ ifn__ rbb__ ibb__ rssd_ issd_ rstmt istmt rplac iplac rproj iproj rcnst icnst rdecl idecl est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.05_____     0    39     1   168    10   502    27  1171    70  1560    79   464    14   133     9   529    27  3158    23.9     6.0    17.9     0.0
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.06_____     0    30     0   289     0   840     0  1485     0  1994     0   273     0   193     0   705     0  3115    23.7     5.7    18.0     0.0
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.07_____     0    97     0   273     0   149     0   221     0   542     0   227     0    87     0   374     0  2819    18.5     3.4    15.1     0.0
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.08_____     0    35     2   214    20   368    46  1026   115  1227   131   271    23   151    18   453    45  2814    35.5     4.8    30.7     0.0
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.09_____     0    63     4   267     4   164     4   552     4   958    12   226     0    85     0   397     8  2801    19.0     4.5    14.5     0.0
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.10_____     0    42     5   197    26   447    50   921   122  1276   150   279    31   118    19   465    55  2801    21.8     6.5    15.3     0.0
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.11_____     0    44     0   312     0   130     0   647     0  1077     0   153     0   189     0   429     0  2796    24.0     4.4    19.6     0.0
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.12_____     2    33     1   242     1   253     1   808     7  1132     9   271     2   117     0   404     5  2795    22.2     5.0    17.2     0.0
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.13_____     0    53     1   240     1   427     7   825    11  1354    15   270     7   177     0   501     6  2795    41.9     7.4    34.5     0.0
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.14_____     0    29     0   230     0   353     0  1057     0  1299     0   296     0   249     0   467     0  2794    39.6     8.4    31.2     0.0
CGU-proc_macro2.31e8a1cb4cfaee1d-cgu.15_____     0    46     0   278     0   338     0  1094     0  1404     0   212     0   264     0   556     0  2794    45.4     7.6    37.9     0.0
CGU-libc.bfc31527b4f679a7-cgu.0_____________     0   218     0   226     0   218     0   234     0   705     0   228     0    21     0   465     0  2494    28.1     4.1    24.0     0.0
CGU-rand.73c0c509de62cf16-cgu.0_____________     0    64     1   311     1   416     1  1097     1  1877     3   353     0   225     0   737     2  3596    50.1     9.5    40.6     0.0
CGU-rand.73c0c509de62cf16-cgu.1_____________     2    86     8   332    12   484    13   810    30  1464    53   286     8   206     5   613    28  3586    45.5     9.0    36.5     0.0
CGU-rand.73c0c509de62cf16-cgu.2_____________     0    23     2   153    20   144    54   537   140   679   158   136    28   108    18   258    54  1867    30.0     3.1    27.0     0.0
CGU-rand.73c0c509de62cf16-cgu.3_____________     0    24     1   208     1   109     1   476     1   727     1    90     0   136     1   275     1  1823    17.7     3.4    14.3     0.0
CGU-rand.73c0c509de62cf16-cgu.4_____________     0    23     4   163     7   130     4   347     2   632    22   153     1   112     3   261    13  1806    33.0     4.0    29.0     0.0
CGU-rand.73c0c509de62cf16-cgu.5_____________     1    21     5   155     5   150    13   671    29   870    36   162     8   187     1   350    18  1801    29.9     4.5    25.4     0.0
CGU-rand_core.665f367f29198c67-cgu.0________     0    44     9   214    12   185    34   717    86  1331   114   163     8   155     4   541    47  2266    22.7     5.3    17.4     0.0
CGU-cfg_if.84615b49eb56b783-cgu.0___________     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2.8     0.3     2.5     0.0
CGU-serde.3114ffb7e81d78a4-cgu.0____________     0    99     8   336     8   346    24   930    80  1732    88   262     0   287     8   788    40  3456    43.6     7.4    36.2     0.0
CGU-serde.3114ffb7e81d78a4-cgu.1____________     0    63     3   259     6   432     7   860    16  1496    27   295     4   153     2   592    13  3051    43.3     7.6    35.8     0.0
CGU-serde.3114ffb7e81d78a4-cgu.2____________     5    74     2   283     2   154     6   434    20  1156    22   169     0   234     2   515    10  2676    38.1     3.7    34.4     0.0
CGU-autocfg.4b013de7bd917cde-cgu.00_________     0    27     1   380    10   629    19  2032    45  2615    52   574     9   254     9   841    18  5062    47.7    10.0    37.7     0.0
