# Inputs
# - sttic: number of `static` items
# - rfn__: number of uninlined function items
#   - rbb__: number of basic blocks in uninlined functions
#     - rssd_: number of `SourceScopeData`s in uninlined functions
#     - rstmt: number of statements in uninlined functions
#       - rplac: number of MIR `Place`s in uninlined functions
#       - rproj: number of MIR projections in uninlined functions
#       - rcnst: number of MIR constants in uninlined functions
#     - rdecl: number of `LocalDecls` in uninlined functions
# - ifn__: number of inlined function items
#   - ibb__: number of basic blocks in inlined functions
#     - issd_: number of `SourceScopeData`s in inlined functions
#     - istmt: number of statements in inlined functions
#       - iplac: number of MIR `Place`s in inlined functions
#       - iproj: number of MIR projections in inlined functions
#       - icnst: number of MIR constants in inlined functions
#     - idecl: number of `LocalDecls` in inlined functions
#
# The nesting shows how things fit together. E.g. a function contains basic
# blocks, which contains statements, which contains places.
# There will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for opt builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic rfn__ ifn__ rbb__ ibb__ rssd_ issd_ rstmt istmt rplac iplac rproj iproj rcnst icnst rdecl idecl est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-proc_macro2.76445166f342ce49-cgu.02_____     0    95    38   747   140   276   175  1055   303  1673   467   518   167   350    56   673   226  8949   235.7     5.6   179.7    50.3
CGU-proc_macro2.76445166f342ce49-cgu.03_____     0    16    62    81   310   229   372   527   934   733  1301   184   602    53   151   244   513  5881   163.6     2.8   101.3    59.5
CGU-proc_macro2.76445166f342ce49-cgu.04_____     0     8    59    36   324    86   456   182  1145   246  1547    66   642    18   182    90   579  5352   103.7     2.3    49.0    52.3
CGU-proc_macro2.76445166f342ce49-cgu.05_____     0   105    35   334   165   158   133   561   610   914   773   203   185   217   122   462   334  5045   200.1     3.1   171.0    25.9
CGU-proc_macro2.76445166f342ce49-cgu.06_____     0    26    17   275   131   826   251  1465   539  1954   816   252    92   186   101   683   285  4218    68.2     2.4    41.1    24.7
CGU-proc_macro2.76445166f342ce49-cgu.07_____     0    10    29    54   191    42   124   217   669   272   918    64   161    65   175   121   362  2615    75.3     2.7    35.8    36.8
CGU-proc_macro2.76445166f342ce49-cgu.08_____     2    14    37   110   157    74    55   335   300   406   411    53   126    83    82   166   233  2587    77.7     2.1    47.4    28.2
CGU-proc_macro2.76445166f342ce49-cgu.09_____     0     9    24    66   110   214   243   432   513   578   719   193   126    48    75   191   274  2508    68.2     1.7    40.9    25.6
CGU-proc_macro2.76445166f342ce49-cgu.10_____     0    17    18    88    95   144   173   335   438   443   523   180   123    48    82   165   201  2493    59.2     1.7    36.6    20.9
CGU-proc_macro2.76445166f342ce49-cgu.11_____     0     5    36    39   173    63   141   150   600   202   767    35   189    21   131    71   337  2380   104.9     2.3    72.0    30.6
CGU-libc.a920a744e95cfce3-cgu.0_____________     0   218     0   223     0   218     0   266     0   690     0   228     0    12     0   459     0  2473   105.3     3.2    73.9    28.3
CGU-rand.efd97b27ff4ce52e-cgu.00____________     0     8    20   172   159    33   262   266   412   362   677    21    65    89    99   134   211  2661    54.9     3.6    22.7    28.5
CGU-rand.efd97b27ff4ce52e-cgu.01____________     0     4    31    48   138   152    97   358   364   466   518   172   153    48    62   156   216  2602    51.0     1.6    22.3    27.1
CGU-rand.efd97b27ff4ce52e-cgu.02____________     0    15    18    93   101    72   190   277   441   378   583    48   139    50    64   154   222  2106    64.9     1.8    36.3    26.8
CGU-rand.efd97b27ff4ce52e-cgu.03____________     3    11    22    98   112    44   123   193   468   253   581    46   107    73    90   104   251  2085    55.8     1.8    33.4    20.6
CGU-rand.efd97b27ff4ce52e-cgu.04____________     0    27    19    84    69   191   154   549   276   730   411   186    51    85    47   299   161  2019    61.1     1.8    38.7    20.6
CGU-rand.efd97b27ff4ce52e-cgu.05____________     0     2    19    38   178    59   311   159   489   200   780    32    93    24   116    67   248  2012    64.0     1.1    31.4    31.5
CGU-rand.efd97b27ff4ce52e-cgu.06____________     0    19    25    67   132    76   221   243   545   342   692    37   112    47    86   149   273  1989    68.9     1.8    38.3    28.8
CGU-rand.efd97b27ff4ce52e-cgu.07____________     0     4    20    45   172    33   319   107   480   134   774    27    90    27    97    56   247  1987    55.7     1.2    28.2    26.4
CGU-rand.efd97b27ff4ce52e-cgu.08____________     0     6    19    19   183    13   288    46   664    81   939    15   126    10   151    38   307  1978    39.8     1.3    14.4    24.1
CGU-rand.efd97b27ff4ce52e-cgu.09____________     0    11    17    53   126    52   113   250   472   293   644    63   118    71   107   134   247  1977    53.1     2.3    28.4    22.4
CGU-rand_core.496ef8f41015ecd7-cgu.0________     0    12     9    35    51   114    71   270   315   429   411    26    64    47    22   166   157   962    28.7     1.8    19.5     7.4
CGU-cfg_if.72807ff224843837-cgu.0___________     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     5.2     0.3     3.9     1.1
CGU-serde.4b679c3d1d8d332f-cgu.0____________     5    67    15   239    54   216    80   905   212  1294   268   127    71   258    30   590   116  2848    78.7     3.8    41.0    33.8
CGU-serde.4b679c3d1d8d332f-cgu.1____________     0    65    17   158   110   148    50   338   235   717   401   101    56   104    56   348   150  2504    89.3     2.9    58.9    27.5
CGU-serde.4b679c3d1d8d332f-cgu.2____________     0    18    21   129    26   185    22   742    44   917    42   265     4    92     5   332    59  2161    42.5     1.1    24.5    16.9
CGU-serde.4b679c3d1d8d332f-cgu.3____________     0    11    17    74    91    59   304   243   596   305   760    58   126    37    78   127   278  1891    51.7     2.0    28.3    21.5
CGU-autocfg.fffb60107db463f-cgu.00__________     1    30   150   420  1050   408  1453  1705  3880  2006  5394   323  1309   324   598   762  1912 16819   353.0    12.3   167.2   173.5
CGU-autocfg.fffb60107db463f-cgu.01__________     0     3    79   111   502    78   730   310  1681   429  2439   110   471    82   269   135   879  6615   130.1     3.4    59.5    67.2
CGU-autocfg.fffb60107db463f-cgu.02__________     0    20    38   118   212   234   328   547   808   771  1146   171   253   114    91   264   425  4006   108.7     2.6    56.2    49.9
CGU-autocfg.fffb60107db463f-cgu.03__________     0    20    17   194   131   623   251  1092   539  1461   816   205    92   128   101   509   285  3463    55.7     2.1    20.7    32.9
CGU-autocfg.fffb60107db463f-cgu.04__________     0    11    37    98   225    57   461   251   812   331  1183    43   236    37   150   130   406  3377    71.8     1.8    36.6    33.3
CGU-autocfg.fffb60107db463f-cgu.05__________     0    25    37    94   202    95   381   280   617   438   979    94   156    51   120   177   333  3072    68.2     2.3    40.6    25.4
CGU-autocfg.fffb60107db463f-cgu.06__________     0     2    29    12   242     4   294    27  1152    45  1440     6   294     5   190    19   520  2978    75.4     1.6    29.2    44.6
CGU-autocfg.fffb60107db463f-cgu.07__________     0     2    22    13   204    27   358    61  1216    99  1422    12   263     6   210    32   506  2619    61.9     1.9    29.6    30.4
CGU-autocfg.fffb60107db463f-cgu.08__________     0    22    11   126    31   214    88   444   167   661   244   163    74    51    20   250    97  2047    62.6     1.9    31.9    28.8
