# Inputs
# - sttic: number of `static` items
# - rfn__: number of uninlined function items
#   - rbb__: number of basic blocks in uninlined functions
#     - rssd_: number of `SourceScopeData`s in uninlined functions
#     - rstmt: number of statements in uninlined functions
#       - rplac: number of MIR `Place`s in uninlined functions
#       - rproj: number of MIR projections in uninlined functions
#       - rcnst: number of MIR constants in uninlined functions
#     - rdecl: number of `LocalDecls` in uninlined functions
# - ifn__: number of inlined function items
#   - ibb__: number of basic blocks in inlined functions
#     - issd_: number of `SourceScopeData`s in inlined functions
#     - istmt: number of statements in inlined functions
#       - iplac: number of MIR `Place`s in inlined functions
#       - iproj: number of MIR projections in inlined functions
#       - icnst: number of MIR constants in inlined functions
#     - idecl: number of `LocalDecls` in inlined functions
#
# The nesting shows how things fit together. E.g. a function contains basic
# blocks, which contains statements, which contains places.
# There will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for opt builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic rfn__ ifn__ rbb__ ibb__ rssd_ issd_ rstmt istmt rplac iplac rproj iproj rcnst icnst rdecl idecl est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-syn.a9a7f34383c974ac-cgu.00_____________     0   128   452  1312  2315  1548  4588  4992  7986  6486 11522  2513  3337   735  1072  2343  4388 48789  1075.2    23.5   821.5   230.3
CGU-syn.a9a7f34383c974ac-cgu.01_____________     0    68   413   348  2333   920  3191  2225  6842  3023  9852   757  3473   236  1039  1067  3770 35687   902.4    17.6   613.2   271.6
CGU-syn.a9a7f34383c974ac-cgu.02_____________     0    73   185  1430   812  1179  1021  4030  1266  5352  2309  1698  1110   621   128  1788  1064 26926   917.2    10.9   717.4   188.9
CGU-syn.a9a7f34383c974ac-cgu.03_____________     0    32   236  1321  1182  1730  1707  5396  3347  6643  5074   710  1567  1254   417  2202  2020 26629   936.4    14.4   669.0   253.0
CGU-syn.a9a7f34383c974ac-cgu.04_____________     0    62   280   982  1149   669  1377  2279  2276  3161  3825   938  1351   557   287  1096  1711 24073   758.6    12.4   571.4   174.8
CGU-syn.a9a7f34383c974ac-cgu.05_____________     0    33   217  1204  1011  1013  1394  3545  2193  4557  3493   865  1218   643   300  1496  1492 23837   857.3    11.7   675.4   170.1
CGU-syn.a9a7f34383c974ac-cgu.06_____________     0   686    84  1983   303  1793   361  4782   540  7444  1034  1415   529  1004    72  3414   524 23778   638.4    16.3   476.4   145.7
CGU-syn.a9a7f34383c974ac-cgu.07_____________     0    82   217   672  1211   934  1310  2411  2832  3467  4224  1118  1501   294   383  1190  1798 23657   705.6    11.2   533.1   161.3
CGU-syn.a9a7f34383c974ac-cgu.08_____________     0    88   289   690  1387  1555  1889  2702  3528  3608  5341   410  1699   448   585  1303  2248 22975   598.3    12.9   448.1   137.4
CGU-syn.a9a7f34383c974ac-cgu.09_____________     0    91   192   989   842   795  1243  2494  1607  3649  2790  1410  1123   376   167  1215  1226 22949   763.8    10.1   609.4   144.2
CGU-syn.a9a7f34383c974ac-cgu.10_____________     1    62   282   559  1287   679  1669  2098  2816  2696  4583   617  1868   323   380   964  1950 22863   820.2    23.2   628.5   168.4
CGU-syn.a9a7f34383c974ac-cgu.11_____________     0    65   263   742  1193   717  1813  2067  2842  2998  4455   822  1506   357   351  1020  1867 22857   761.6    11.3   582.9   167.4
CGU-syn.a9a7f34383c974ac-cgu.12_____________     0   152    89  1611   383  4685   723  8663  1403 11394  2069  1742   358  1076   275  3941   821 22358   332.9    11.5   220.6   100.7
CGU-syn.a9a7f34383c974ac-cgu.13_____________     0   185   229   866   990   680  1470  2089  2403  3122  3725  1000  1327   490   307  1331  1588 22300   770.1    11.2   599.5   159.4
CGU-syn.a9a7f34383c974ac-cgu.14_____________     0   125   211   777   973   853  1597  2299  2447  3402  3886  1177  1335   452   290  1280  1628 22298   629.4     9.6   474.8   145.0
CGU-syn.a9a7f34383c974ac-cgu.15_____________     0    35   237   695  1111  1040  1566  2590  2627  3664  4091   933  1480   488   335  1149  1752 22294   699.8    10.8   525.3   163.7
CGU-quote.d861e42904284cab-cgu.00___________     0    13    88    63   519   155   493   363  1356   507  1894   134   812    42   217   172   741  7858   158.6     5.9    86.7    66.1
CGU-quote.d861e42904284cab-cgu.01___________     0   108    32   546   104   221   111   937   172  1642   317    50   115   740    14   892   156  5210   178.5     3.0   134.5    41.0
CGU-quote.d861e42904284cab-cgu.02___________     0    23    17   226   131   699   251  1269   539  1687   816   240    92   149   101   586   285  3827    68.8     3.1    30.6    35.1
CGU-quote.d861e42904284cab-cgu.03___________     0    45    39   137   153   146   155   354   382   580   576   166   191    82    85   279   259  3458    76.0     7.5    40.8    27.7
CGU-quote.d861e42904284cab-cgu.04___________     0    18    40    57   195    83   184   230   716   323   911    61   357    43   141   148   364  3436    91.3     3.7    63.5    24.1
CGU-quote.d861e42904284cab-cgu.05___________     0     7    75    50   249    22   272   155   531   185   828    31   300    35    78    86   403  3417    91.8     3.2    54.1    34.5
CGU-quote.d861e42904284cab-cgu.06___________     0     7    66    49   253    14    78    98   343   168   603    14   241    21    75    70   336  3134    98.6     4.8    51.9    41.9
CGU-quote.d861e42904284cab-cgu.07___________     0     5    56    59   174   213   229   417   370   527   618   164   178    42    83   176   304  2999    79.3     1.8    45.3    32.2
CGU-quote.d861e42904284cab-cgu.08___________     0     7    57    95   145    26    73   140    81   216   233    81   163    44    19    88   179  2656   103.5     1.4    66.1    36.0
CGU-quote.d861e42904284cab-cgu.09___________     0     8    37    34   146    52    93   118   437   187   557    46   180    18    99    71   268  2164    53.4     2.0    26.5    24.9
CGU-proc_macro2.76445166f342ce49-cgu.00_____     0    49   104  1312   840  1191  1163  3974  3692  4868  4821   692  1058  1034   543  1676  1684 22064   638.3    25.5   335.2   277.7
CGU-proc_macro2.76445166f342ce49-cgu.01_____     0    97   137   575  1001   739  1367  2284  4314  2737  5568   405  1193   610   737  1135  2010 17424   282.2    18.6   180.9    82.7
CGU-proc_macro2.76445166f342ce49-cgu.02_____     0    95    38   747   140   276   175  1055   303  1673   467   518   167   350    56   673   226  8949   231.4    14.3   180.2    36.9
CGU-proc_macro2.76445166f342ce49-cgu.03_____     0    16    62    81   310   229   372   527   934   733  1301   184   602    53   151   244   513  5881   148.6     4.4    93.4    50.8
CGU-proc_macro2.76445166f342ce49-cgu.04_____     0     8    59    36   324    86   456   182  1145   246  1547    66   642    18   182    90   579  5352   120.0     6.3    63.2    50.5
CGU-proc_macro2.76445166f342ce49-cgu.05_____     0   105    35   334   165   158   133   561   610   914   773   203   185   217   122   462   334  5045   201.8     5.2   169.1    27.6
CGU-proc_macro2.76445166f342ce49-cgu.06_____     0    26    17   275   131   826   251  1465   539  1954   816   252    92   186   101   683   285  4218    59.2     4.1    34.6    20.5
CGU-proc_macro2.76445166f342ce49-cgu.07_____     0    10    29    54   191    42   124   217   669   272   918    64   161    65   175   121   362  2615    80.8     6.7    39.1    35.1
CGU-proc_macro2.76445166f342ce49-cgu.08_____     2    14    37   110   157    74    55   335   300   406   411    53   126    83    82   166   233  2587    67.0     5.7    44.0    17.2
CGU-proc_macro2.76445166f342ce49-cgu.09_____     0     9    24    66   110   214   243   432   513   578   719   193   126    48    75   191   274  2508    52.7     3.2    27.2    22.3
CGU-proc_macro2.76445166f342ce49-cgu.10_____     0    17    18    88    95   144   173   335   438   443   523   180   123    48    82   165   201  2493    50.4     2.4    36.5    11.5
CGU-proc_macro2.76445166f342ce49-cgu.11_____     0     5    36    39   173    63   141   150   600   202   767    35   189    21   131    71   337  2380    98.0     3.5    66.7    27.8
CGU-libc.a920a744e95cfce3-cgu.0_____________     0   218     0   223     0   218     0   266     0   690     0   228     0    12     0   459     0  2473   111.9     3.3    79.4    29.1
CGU-rand.efd97b27ff4ce52e-cgu.00____________     0     8    20   172   159    33   262   266   412   362   677    21    65    89    99   134   211  2661    62.2    10.3    26.3    25.7
CGU-rand.efd97b27ff4ce52e-cgu.01____________     0     4    31    48   138   152    97   358   364   466   518   172   153    48    62   156   216  2602    51.8     4.6    26.0    21.2
CGU-rand.efd97b27ff4ce52e-cgu.02____________     0    15    18    93   101    72   190   277   441   378   583    48   139    50    64   154   222  2106    58.6     3.7    28.0    26.9
CGU-rand.efd97b27ff4ce52e-cgu.03____________     3    11    22    98   112    44   123   193   468   253   581    46   107    73    90   104   251  2085    60.4     5.1    34.0    21.2
CGU-rand.efd97b27ff4ce52e-cgu.04____________     0    27    19    84    69   191   154   549   276   730   411   186    51    85    47   299   161  2019    52.7     3.5    28.8    20.4
CGU-rand.efd97b27ff4ce52e-cgu.05____________     0     2    19    38   178    59   311   159   489   200   780    32    93    24   116    67   248  2012    59.6     2.8    34.2    22.7
CGU-rand.efd97b27ff4ce52e-cgu.06____________     0    19    25    67   132    76   221   243   545   342   692    37   112    47    86   149   273  1989    61.4     5.0    35.8    20.7
CGU-rand.efd97b27ff4ce52e-cgu.07____________     0     4    20    45   172    33   319   107   480   134   774    27    90    27    97    56   247  1987    54.1     3.5    29.2    21.4
CGU-rand.efd97b27ff4ce52e-cgu.08____________     0     6    19    19   183    13   288    46   664    81   939    15   126    10   151    38   307  1978    49.4     3.3    24.9    21.2
CGU-rand.efd97b27ff4ce52e-cgu.09____________     0    11    17    53   126    52   113   250   472   293   644    63   118    71   107   134   247  1977    51.5     6.9    24.7    19.8
CGU-rand_core.496ef8f41015ecd7-cgu.0________     0    12     9    35    51   114    71   270   315   429   411    26    64    47    22   166   157   962    27.7     1.8    18.7     7.2
CGU-cfg_if.72807ff224843837-cgu.0___________     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     5.3     0.2     3.8     1.2
CGU-serde.4b679c3d1d8d332f-cgu.0____________     5    67    15   239    54   216    80   905   212  1294   268   127    71   258    30   590   116  2848   114.4    10.3    66.1    38.0
CGU-serde.4b679c3d1d8d332f-cgu.1____________     0    65    17   158   110   148    50   338   235   717   401   101    56   104    56   348   150  2504    86.4     6.2    50.3    29.9
CGU-serde.4b679c3d1d8d332f-cgu.2____________     0    18    21   129    26   185    22   742    44   917    42   265     4    92     5   332    59  2161    55.7     2.3    33.9    19.6
CGU-serde.4b679c3d1d8d332f-cgu.3____________     0    11    17    74    91    59   304   243   596   305   760    58   126    37    78   127   278  1891    54.5     5.4    26.8    22.2
CGU-autocfg.fffb60107db463f-cgu.00__________     1    30   150   420  1050   408  1453  1705  3880  2006  5394   323  1309   324   598   762  1912 16819   361.9    12.9   165.6   183.5
CGU-autocfg.fffb60107db463f-cgu.01__________     0     3    79   111   502    78   730   310  1681   429  2439   110   471    82   269   135   879  6615   124.3     3.5    70.2    50.6
CGU-autocfg.fffb60107db463f-cgu.02__________     0    20    38   118   212   234   328   547   808   771  1146   171   253   114    91   264   425  4006   123.0     2.6    71.0    49.3
CGU-autocfg.fffb60107db463f-cgu.03__________     0    20    17   194   131   623   251  1092   539  1461   816   205    92   128   101   509   285  3463    57.3     5.9    31.8    19.6
CGU-autocfg.fffb60107db463f-cgu.04__________     0    11    37    98   225    57   461   251   812   331  1183    43   236    37   150   130   406  3377    77.2     3.7    37.0    36.4
CGU-autocfg.fffb60107db463f-cgu.05__________     0    25    37    94   202    95   381   280   617   438   979    94   156    51   120   177   333  3072    62.5     4.2    39.4    18.9
CGU-autocfg.fffb60107db463f-cgu.06__________     0     2    29    12   242     4   294    27  1152    45  1440     6   294     5   190    19   520  2978    97.9     4.7    43.0    50.3
CGU-autocfg.fffb60107db463f-cgu.07__________     0     2    22    13   204    27   358    61  1216    99  1422    12   263     6   210    32   506  2619    70.5     5.4    28.2    36.9
CGU-autocfg.fffb60107db463f-cgu.08__________     0    22    11   126    31   214    88   444   167   661   244   163    74    51    20   250    97  2047    59.4     1.9    32.1    25.3
CGU-autocfg.fffb60107db463f-cgu.09__________     0    16    23    80   110   114   138   278   292   386   432    79    89    40    59   148   182  2002    74.7     2.4    44.4    27.9
CGU-itoa.d527e09b0a8e2a9a-cgu.0_____________     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     4.5     0.1     3.7     0.7
CGU-bitflags.302c5e5f6d915ab3-cgu.0_________     0    18    27    76   112    57    87   249   217   294   366    29    72    89    62   137   176  1720    54.3     1.9    31.3    21.0
CGU-getrandom.163c4e011ad892eb-cgu.0________     3    24    25   258   138   233   126  1012   555  1158   678   218   100   207   101   441   291  4047    53.2     3.6    28.9    20.7
CGU-base64.1c6f8b475027e6ad-cgu.0___________     0    14    15   152   206   128   328  1239  1189  1548  1562   345   211   374   254   554   531  4730   168.0     3.7    81.4    82.9
CGU-base64.1c6f8b475027e6ad-cgu.1___________     0    18    27   183   186   281   316   901   764  1120  1085   118   150   141   133   404   391  3655    49.6     3.4    26.4    19.7
CGU-base64.1c6f8b475027e6ad-cgu.2___________     0    37    14   174    58   178    75   871   226  1050   272   133    50   171    36   424   115  2356    76.4     2.9    39.9    33.6
CGU-log.28c57cc2e897a689-cgu.0______________     7    52    57   213   341   201   252   825   982  1035  1346   156   307   240   209   456   540  5737   119.1     5.6    55.1    58.4
CGU-serde_derive.bf4f3a9021c252-cgu.00______     1     6   108   224   567   232   720   938  1325  1118  2169   175   644   215   238   422   859  8814   205.2     8.5   125.0    71.7
CGU-serde_derive.bf4f3a9021c252-cgu.01______     0    46    16   383   129  1244   250  2301   539  3040   811   482    92   244    99  1047   282  5880    74.0     3.4    29.0    41.6
CGU-serde_derive.bf4f3a9021c252-cgu.02______     0    16    53    63   248    93   315   258   731   336  1069    47   297    52   169   140   437  3553   105.7     4.2    42.7    58.7
CGU-serde_derive.bf4f3a9021c252-cgu.03______     0    23    41   134   178   138   218   351   453   559   721   114   184    87    82   218   309  3376   128.7     3.1    83.1    42.5
CGU-serde_derive.bf4f3a9021c252-cgu.04______     0    19    38    68   163   232   250   600   482   774   772   189   191    49    78   280   319  3137    67.4     2.4    37.9    27.1
CGU-serde_derive.bf4f3a9021c252-cgu.05______     0     5    28    77   119   108    96   244   385   361   494   108   145    42    89   117   245  2384    90.9     4.8    47.1    39.1
CGU-serde_derive.bf4f3a9021c252-cgu.06______     0    23     8   127    34   239    87   533   191   806   271   227    59    68    25   298   100  2271    61.3     3.6    39.1    18.6
CGU-serde_derive.bf4f3a9021c252-cgu.07______     0    12    26    55   119   119   235   265   445   350   688    90   161    28    82   134   263  2222    51.4     3.3    22.2    25.8
CGU-serde_derive.bf4f3a9021c252-cgu.08______     0     5    24    18   194    43   331    77   571   135   912    11   139    20   108    58   288  2084    40.7     3.0    27.9     9.9
CGU-serde_derive.bf4f3a9021c252-cgu.09______     0     2    19    38   178    59   311   159   489   200   780    32    93    24   116    67   248  2012    69.0     2.4    34.1    32.5
CGU-serde_derive.bf4f3a9021c252-cgu.10______     0     4    21    37   179    46   313   143   494   186   791    32    90    19   118    67   252  2000    51.5     1.1    21.6    28.8
CGU-serde_derive.bf4f3a9021c252-cgu.11______     0     4    20    45   172    33   319   107   480   134   774    27    90    27    97    56   247  1987    55.6     1.3    31.0    23.3
